algorithm,phase,operator_type,operator_name,selection_count,improvement_probability,mean_delta,mean_improving_delta
ALNS-A,unknown,destroy,destroy_streak_around_worst_worker,123,0.17886178861788618,36.26724137931034,-5.409090909090909
ALNS-A,unknown,repair,repair_chuffed_long,265,0.16981132075471697,15.72,-11.266666666666667
ALNS-A,unknown,destroy,destroy_random_days_20pct,135,0.13333333333333333,4.674074074074074,-20.444444444444443
ALNS-A,unknown,repair,repair_gecode_fast,561,0.23351158645276293,5.948306595365419,-37.36641221374046
ALNS-A,unknown,destroy,destroy_random_window_20pct,527,0.21062618595825428,11.633397312859884,-30.08108108108108
ALNS-A,unknown,destroy,destroy_all_forbidden_sequences,98,0.3877551020408163,-13.581632653061224,-36.86842105263158
ALNS-A,unknown,repair,repair_chuffed_fast,612,0.1895424836601307,14.877721943048575,-23.00862068965517
ALNS-A,unknown,destroy,destroy_worst_days_30pct,153,0.0392156862745098,21.431372549019606,-1.6666666666666667
ALNS-A,unknown,destroy,destroy_worst_workers_30pct,252,0.1111111111111111,16.38095238095238,-25.321428571428573
ALNS-A,unknown,repair,repair_gecode_long,291,0.18556701030927836,8.391304347826088,-6.907407407407407
ALNS-A,unknown,destroy,destroy_random_workers_20pct,288,0.14583333333333334,13.006944444444445,-5.071428571428571
ALNS-A,unknown,destroy,destroy_exploration,143,0.08391608391608392,8.202797202797203,-4.5
ALNS-A,unknown,repair,repair_exploration,143,0.08391608391608392,8.202797202797203,-4.5
ALNS-A,unknown,destroy,destroy_worst_workers_10pct,36,0.3611111111111111,-1.2727272727272727,-4.384615384615385
ALNS-A,unknown,destroy,destroy_max_border_off,78,0.717948717948718,-17.584615384615386,-20.410714285714285
ALNS-A,unknown,destroy,destroy_worst_days_10pct,6,0.6666666666666666,-6.666666666666667,-10.0
ALNS-A,unknown,destroy,destroy_max_border_shift_3,4,0.0,0.0,nan
ALNS-A,unknown,destroy,destroy_max_border_shift_2,15,0.26666666666666666,-3.7857142857142856,-13.25
ALNS-A,unknown,destroy,destroy_max_border_shift_1,12,0.3333333333333333,-124.0,-248.0
ALNS-A,unknown,destroy,destroy_max_border_work,2,0.0,0.0,nan
ALNS-B,unknown,destroy,destroy_streak_around_worst_worker,330,0.15454545454545454,22.907120743034056,-3.0980392156862746
ALNS-B,unknown,repair,repair_chuffed_long,289,0.16262975778546712,14.211678832116789,-6.48936170212766
ALNS-B,unknown,repair,repair_gecode_fast,554,0.19855595667870035,6.3483754512635375,-43.527272727272724
ALNS-B,unknown,destroy,destroy_worst_days_10pct,214,0.13551401869158877,-0.2897196261682243,-2.1379310344827585
ALNS-B,unknown,repair,repair_chuffed_fast,621,0.15458937198067632,13.415841584158416,-28.270833333333332
ALNS-B,unknown,destroy,destroy_all_forbidden_sequences,224,0.18303571428571427,-6.125,-34.853658536585364
ALNS-B,unknown,repair,repair_gecode_long,244,0.11475409836065574,9.135371179039302,-8.357142857142858
ALNS-B,unknown,destroy,destroy_max_border_work,58,0.0,0.0,nan
ALNS-B,unknown,destroy,destroy_max_border_shift_3,60,0.0,0.0,nan
ALNS-B,unknown,destroy,destroy_max_border_off,108,0.4074074074074074,-9.063157894736841,-19.568181818181817
ALNS-B,unknown,destroy,destroy_worst_workers_10pct,194,0.16494845360824742,-0.4388888888888889,-2.75
ALNS-B,unknown,destroy,destroy_exploration,185,0.16216216216216217,5.967567567567568,-2.8333333333333335
ALNS-B,unknown,repair,repair_exploration,185,0.16216216216216217,5.967567567567568,-2.8333333333333335
ALNS-B,unknown,destroy,destroy_max_border_shift_1,53,0.07547169811320754,-20.285714285714285,-248.5
ALNS-B,unknown,destroy,destroy_random_window_20pct,188,0.2393617021276596,32.92307692307692,-72.24444444444444
ALNS-B,unknown,destroy,destroy_max_border_shift_2,58,0.06896551724137931,-0.9298245614035088,-13.25
ALNS-B,unknown,destroy,destroy_worst_days_30pct,23,0.043478260869565216,40.17391304347826,-1.0
ALNS-B,unknown,destroy,destroy_random_days_20pct,20,0.25,11.45,-69.0
ALNS-B,unknown,destroy,destroy_random_workers_20pct,123,0.12195121951219512,30.943089430894307,-10.866666666666667
ALNS-B,unknown,destroy,destroy_worst_workers_30pct,55,0.18181818181818182,49.163636363636364,-63.6
