instance,instance_index,algorithm,mean_time_to_target_seconds,median_time_to_target_seconds,n_runs
Example0,0,ALNS-A,nan,nan,3
Example0,0,ALNS-B,nan,nan,3
Example1,1,ALNS-A,nan,nan,3
Example1,1,ALNS-B,nan,nan,3
Example2,2,ALNS-A,nan,nan,3
Example2,2,ALNS-B,nan,nan,3
Example3,3,ALNS-A,nan,nan,3
Example3,3,ALNS-B,nan,nan,3
Example4,4,ALNS-A,nan,nan,3
Example4,4,ALNS-B,nan,nan,3
Example5,5,ALNS-A,nan,nan,3
Example5,5,ALNS-B,nan,nan,3
Example6,6,ALNS-A,nan,nan,3
Example6,6,ALNS-B,nan,nan,3
Example7,7,ALNS-A,nan,nan,3
Example7,7,ALNS-B,nan,nan,3
Example8,8,ALNS-A,nan,nan,3
Example8,8,ALNS-B,nan,nan,3
Example9,9,ALNS-A,nan,nan,3
Example9,9,ALNS-B,nan,nan,3
Example10,10,ALNS-A,nan,nan,3
Example10,10,ALNS-B,nan,nan,3
Example11,11,ALNS-A,nan,nan,3
Example11,11,ALNS-B,nan,nan,3
Example12,12,ALNS-A,nan,nan,3
Example12,12,ALNS-B,nan,nan,3
Example13,13,ALNS-A,nan,nan,3
Example13,13,ALNS-B,nan,nan,3
Example14,14,ALNS-A,nan,nan,3
Example14,14,ALNS-B,nan,nan,3
