algorithm,instance,seed,iteration,elapsed,best_so_far_objective
ALNS-A,Example0,0,1,1.964,10.0
ALNS-A,Example0,0,2,3.866,5.0
ALNS-A,Example0,0,3,4.53,5.0
ALNS-A,Example0,0,4,5.42,5.0
ALNS-A,Example0,0,5,6.91,5.0
ALNS-A,Example0,0,6,8.098,5.0
ALNS-A,Example0,0,7,8.705,5.0
ALNS-A,Example0,0,8,9.353,3.0
ALNS-A,Example0,0,9,24.827,3.0
ALNS-A,Example0,0,10,25.411,3.0
ALNS-A,Example0,0,11,26.071,3.0
ALNS-A,Example0,0,12,26.629,3.0
ALNS-A,Example0,0,13,30.164,3.0
ALNS-A,Example0,0,14,33.568,3.0
ALNS-A,Example0,0,15,34.275,3.0
ALNS-A,Example0,0,16,37.688,3.0
ALNS-A,Example0,0,17,39.114,3.0
ALNS-A,Example0,0,18,45.199,2.0
ALNS-A,Example0,0,19,46.939,1.0
ALNS-A,Example0,0,20,47.437,1.0
ALNS-A,Example0,0,21,48.099,1.0
ALNS-A,Example0,0,22,49.287,1.0
ALNS-A,Example0,0,23,51.879,1.0
ALNS-A,Example0,0,24,55.265,1.0
ALNS-A,Example0,0,25,55.866,1.0
ALNS-A,Example0,0,26,56.355,1.0
ALNS-A,Example0,0,27,59.761,1.0
ALNS-A,Example0,0,28,60.521,1.0
ALNS-A,Example0,0,29,62.947,0.0
ALNS-A,Example0,1,1,0.935,7.0
ALNS-A,Example0,1,2,1.743,5.0
ALNS-A,Example0,1,3,2.367,5.0
ALNS-A,Example0,1,4,3.371,3.0
ALNS-A,Example0,1,5,3.934,3.0
ALNS-A,Example0,1,6,7.357,3.0
ALNS-A,Example0,1,7,22.814,3.0
ALNS-A,Example0,1,8,23.495,3.0
ALNS-A,Example0,1,9,26.895,3.0
ALNS-A,Example0,1,10,27.408,3.0
ALNS-A,Example0,1,11,28.207,3.0
ALNS-A,Example0,1,12,28.923,3.0
ALNS-A,Example0,1,13,29.637,3.0
