algorithm,operator_type,operator_name,mean_selection_share,mean_improvement_probability,mean_improving_delta,std_selection_share_across_instances,n_instances
ALNS-A,destroy,destroy_streak_around_worst_worker,0.08718971499601147,0.10584415584415584,-7.389583333333333,0.03423236526235448,15
ALNS-A,repair,repair_chuffed_long,0.15773299053091513,0.15133067186988755,-24.604365079365078,0.03847192569657889,15
ALNS-A,destroy,destroy_random_days_20pct,0.08940023017875624,0.10259598789010553,-34.44166666666667,0.05968050052631095,12
ALNS-A,repair,repair_gecode_fast,0.3018819920511652,0.2596569435043844,-48.62291245791245,0.06596733777467408,15
ALNS-A,destroy,destroy_random_window_20pct,0.2971950586069218,0.20208075853105092,-70.99546897546898,0.07899913791067284,15
ALNS-A,destroy,destroy_all_forbidden_sequences,0.06328508462980632,0.4833333333333333,-31.249999999999996,0.021809442848445968,15
ALNS-A,repair,repair_chuffed_fast,0.3433439576845201,0.19507312981900188,-26.36925925925926,0.07088703246466517,15
ALNS-A,destroy,destroy_worst_days_30pct,0.08094431615603227,0.01655328798185941,-1.6666666666666667,0.03193568603423353,14
ALNS-A,destroy,destroy_worst_workers_30pct,0.12400094974543846,0.1439153439153439,-57.9520202020202,0.047444142968078286,15
ALNS-A,repair,repair_gecode_long,0.16310168357890303,0.19903576831113062,-8.700396825396826,0.03439744246808058,15
ALNS-A,destroy,destroy_random_workers_20pct,0.1786730353710434,0.13323565323565323,-8.284722222222223,0.054939314145620866,15
ALNS-A,destroy,destroy_exploration,0.08377492522395982,0.13712121212121212,-4.375,0.031807752117976894,15
ALNS-A,repair,repair_exploration,0.08377492522395982,0.13712121212121212,-4.375,0.031807752117976894,15
ALNS-A,destroy,destroy_worst_workers_10pct,0.045587742714208686,0.312962962962963,-4.166666666666667,0.02423237008834105,15
ALNS-A,destroy,destroy_max_border_off,0.07474410404899905,0.7277777777777779,-17.07905982905983,0.03789192315522683,14
ALNS-A,destroy,destroy_worst_days_10pct,0.01807774618132828,0.6,-9.166666666666666,0.004908953106747702,5
ALNS-A,destroy,destroy_max_border_shift_3,0.02845683728036669,0.0,nan,0.010263582003471659,2
ALNS-A,destroy,destroy_max_border_shift_2,0.0404737419426768,0.5,-13.25,0.010580456474051769,7
ALNS-A,destroy,destroy_max_border_shift_1,0.02907493319689592,0.20833333333333331,-199.5,0.012714312567283179,8
ALNS-A,destroy,destroy_max_border_work,0.012946876044102907,0.0,nan,0.0010631408337251791,2
ALNS-B,destroy,destroy_streak_around_worst_worker,0.16375403778913963,0.1308957732421813,-6.379861111111111,0.07534191217320836,15
ALNS-B,repair,repair_chuffed_long,0.15586154466196264,0.1501724745842393,-7.3305916305916305,0.04527118348430944,15
ALNS-B,repair,repair_gecode_fast,0.29980751046456955,0.2579588791139695,-47.06169312169312,0.07484565225619866,15
ALNS-B,destroy,destroy_worst_days_10pct,0.12699283085498264,0.2871745792334027,-1.827777777777778,0.058300600155090164,10
ALNS-B,repair,repair_chuffed_fast,0.34738768617670585,0.19597718700141506,-28.21227513227513,0.08126058194235576,15
ALNS-B,destroy,destroy_all_forbidden_sequences,0.10011967081626373,0.3974787558120891,-25.022222222222222,0.03871120160356084,15
ALNS-B,repair,repair_gecode_long,0.13616354887808674,0.1564385078858763,-11.583333333333334,0.027074156222989525,15
ALNS-B,destroy,destroy_max_border_work,0.049914594216129066,0.0,nan,0.0186046783724764,9
ALNS-B,destroy,destroy_max_border_shift_3,0.04927814129136144,0.0,nan,0.02880579770781028,9
ALNS-B,destroy,destroy_max_border_off,0.08311910810813714,0.44058201058201063,-17.314814814814813,0.033981297813072714,15
ALNS-B,destroy,destroy_worst_workers_10pct,0.10969471161792739,0.1688095238095238,-3.0569444444444445,0.07402091537205854,15
ALNS-B,destroy,destroy_exploration,0.09154936889532378,0.19018518518518515,-5.058080808080808,0.03401760045852192,15
ALNS-B,repair,repair_exploration,0.09154936889532378,0.19018518518518515,-5.058080808080808,0.03401760045852192,15
ALNS-B,destroy,destroy_max_border_shift_1,0.04063525727392256,0.09829059829059829,-199.83333333333334,0.014045305300745244,13
ALNS-B,destroy,destroy_random_window_20pct,0.16330391689872806,0.32733578016186715,-96.66068376068377,0.14859995769954745,15
ALNS-B,destroy,destroy_max_border_shift_2,0.0421971858254894,0.2692307692307692,-13.25,0.018600732083511245,13
ALNS-B,destroy,destroy_worst_days_30pct,0.056570751164369604,0.05555555555555555,-1.0,0.045108296527294416,9
ALNS-B,destroy,destroy_random_days_20pct,0.056025517630938416,0.28125,-57.833333333333336,0.052699620513361294,8
ALNS-B,destroy,destroy_random_workers_20pct,0.13641182928948595,0.3648758648758649,-13.09375,0.09193873243200643,13
ALNS-B,destroy,destroy_worst_workers_30pct,0.07397257884269041,0.24305555555555558,-86.14285714285714,0.04772276200753733,12
