algorithm,instance,instance_index,seed,iteration,elapsed,step_runtime,operator_type,operator_name,objective_before,objective_after,delta_objective,accepted,repair_failed,used_exploration
ALNS-A,Example0,0,0,1,1.964,1.964,destroy,destroy_streak_around_worst_worker,inf,10.0,nan,True,False,False
ALNS-A,Example0,0,0,1,1.964,1.964,repair,repair_chuffed_long,inf,10.0,nan,True,False,False
ALNS-A,Example0,0,0,2,3.866,1.902,destroy,destroy_random_days_20pct,10.0,5.0,-5.0,True,False,False
ALNS-A,Example0,0,0,2,3.866,1.902,repair,repair_gecode_fast,10.0,5.0,-5.0,True,False,False
ALNS-A,Example0,0,0,3,4.53,0.664,destroy,destroy_random_window_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,3,4.53,0.664,repair,repair_gecode_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,4,5.42,0.889,destroy,destroy_streak_around_worst_worker,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,4,5.42,0.889,repair,repair_gecode_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,5,6.91,1.49,destroy,destroy_random_days_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,5,6.91,1.49,repair,repair_gecode_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,6,8.098,1.189,destroy,destroy_random_days_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,6,8.098,1.189,repair,repair_gecode_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,7,8.705,0.607,destroy,destroy_all_forbidden_sequences,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,7,8.705,0.607,repair,repair_gecode_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example0,0,0,8,9.353,0.648,destroy,destroy_random_window_20pct,5.0,3.0,-2.0,True,False,False
ALNS-A,Example0,0,0,8,9.353,0.648,repair,repair_chuffed_fast,5.0,3.0,-2.0,True,False,False
ALNS-A,Example0,0,0,9,24.827,15.475,destroy,destroy_worst_days_30pct,3.0,13.0,10.0,False,False,False
ALNS-A,Example0,0,0,9,24.827,15.475,repair,repair_chuffed_long,3.0,13.0,10.0,False,False,False
ALNS-A,Example0,0,0,10,25.411,0.584,destroy,destroy_random_window_20pct,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,0,10,25.411,0.584,repair,repair_chuffed_long,3.0,3.0,0.0,True,False,False
ALNS-A,Example0,0,0,11,26.071,0.66,destroy,destroy_random_window_20pct,3.0,3.0,0.0,True,False,False
