algorithm,operator_type,operator_name,count_final_best_contributions
ALNS-A,destroy,destroy_worst_workers_30pct,6
ALNS-A,repair,repair_chuffed_long,8
ALNS-A,destroy,destroy_streak_around_worst_worker,1
ALNS-A,repair,repair_gecode_long,10
ALNS-A,destroy,destroy_random_workers_20pct,2
ALNS-A,repair,repair_chuffed_fast,9
ALNS-A,destroy,destroy_random_days_20pct,1
ALNS-A,destroy,destroy_random_window_20pct,16
ALNS-A,repair,repair_gecode_fast,15
ALNS-A,destroy,destroy_worst_days_30pct,1
ALNS-A,destroy,destroy_max_border_off,11
ALNS-A,destroy,destroy_exploration,3
ALNS-A,repair,repair_exploration,3
ALNS-A,destroy,destroy_all_forbidden_sequences,2
ALNS-A,destroy,destroy_max_border_shift_2,1
ALNS-A,destroy,destroy_worst_workers_10pct,1
ALNS-B,destroy,destroy_streak_around_worst_worker,5
ALNS-B,repair,repair_chuffed_fast,9
ALNS-B,repair,repair_gecode_fast,14
ALNS-B,destroy,destroy_worst_days_10pct,9
ALNS-B,repair,repair_chuffed_long,11
ALNS-B,destroy,destroy_exploration,10
ALNS-B,repair,repair_exploration,10
ALNS-B,destroy,destroy_random_window_20pct,3
ALNS-B,destroy,destroy_all_forbidden_sequences,3
ALNS-B,destroy,destroy_max_border_off,11
ALNS-B,repair,repair_gecode_long,1
ALNS-B,destroy,destroy_worst_workers_10pct,3
ALNS-B,destroy,destroy_max_border_shift_2,1
