algorithm,instance,instance_index,seed,operator_type,operator_name,selection_count,selection_share,improvement_count,improvement_probability,acceptance_rate,mean_delta,mean_improving_delta
ALNS-A,Example0,0,0,destroy,destroy_streak_around_worst_worker,5,0.1724137931034483,0,0.0,0.8,0.75,nan
ALNS-A,Example0,0,0,repair,repair_chuffed_long,9,0.3103448275862069,3,0.3333333333333333,0.8888888888888888,0.875,-1.0
ALNS-A,Example0,0,0,destroy,destroy_random_days_20pct,7,0.2413793103448276,2,0.2857142857142857,1.0,-0.8571428571428571,-3.0
ALNS-A,Example0,0,0,repair,repair_gecode_fast,10,0.3448275862068966,1,0.1,0.6,3.2,-5.0
ALNS-A,Example0,0,0,destroy,destroy_random_window_20pct,7,0.2413793103448276,1,0.14285714285714285,1.0,-0.2857142857142857,-2.0
ALNS-A,Example0,0,0,destroy,destroy_all_forbidden_sequences,3,0.10344827586206896,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,0,repair,repair_chuffed_fast,7,0.2413793103448276,1,0.14285714285714285,0.8571428571428571,0.7142857142857143,-2.0
ALNS-A,Example0,0,0,destroy,destroy_worst_days_30pct,5,0.1724137931034483,1,0.2,0.2,8.8,-1.0
ALNS-A,Example0,0,0,destroy,destroy_worst_workers_30pct,2,0.06896551724137931,1,0.5,0.5,2.5,-1.0
ALNS-A,Example0,0,0,repair,repair_gecode_long,3,0.10344827586206896,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,1,destroy,destroy_random_window_20pct,2,0.045454545454545456,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,1,repair,repair_chuffed_fast,16,0.36363636363636365,2,0.125,0.8125,2.533333333333333,-1.5
ALNS-A,Example0,0,1,destroy,destroy_random_workers_20pct,15,0.3409090909090909,3,0.2,1.0,-0.26666666666666666,-1.3333333333333333
ALNS-A,Example0,0,1,destroy,destroy_streak_around_worst_worker,6,0.13636363636363635,2,0.3333333333333333,1.0,-0.5,-1.5
ALNS-A,Example0,0,1,repair,repair_chuffed_long,8,0.18181818181818182,1,0.125,1.0,-0.125,-1.0
ALNS-A,Example0,0,1,repair,repair_gecode_long,9,0.20454545454545456,2,0.2222222222222222,0.8888888888888888,0.5555555555555556,-1.5
ALNS-A,Example0,0,1,destroy,destroy_all_forbidden_sequences,2,0.045454545454545456,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,1,destroy,destroy_worst_days_30pct,7,0.1590909090909091,0,0.0,0.14285714285714285,9.714285714285714,nan
ALNS-A,Example0,0,1,destroy,destroy_random_days_20pct,8,0.18181818181818182,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,1,repair,repair_gecode_fast,7,0.1590909090909091,0,0.0,0.7142857142857143,2.7142857142857144,nan
ALNS-A,Example0,0,1,destroy,destroy_exploration,4,0.09090909090909091,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,1,repair,repair_exploration,4,0.09090909090909091,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,2,destroy,destroy_worst_workers_10pct,1,0.06666666666666667,0,0.0,1.0,nan,nan
ALNS-A,Example0,0,2,repair,repair_gecode_long,3,0.2,1,0.3333333333333333,0.6666666666666666,2.5,-2.0
ALNS-A,Example0,0,2,destroy,destroy_all_forbidden_sequences,2,0.13333333333333333,0,0.0,1.0,0.0,nan
ALNS-A,Example0,0,2,repair,repair_chuffed_fast,5,0.3333333333333333,1,0.2,1.0,-0.2,-1.0
ALNS-A,Example0,0,2,destroy,destroy_random_days_20pct,1,0.06666666666666667,1,1.0,1.0,-2.0,-2.0
ALNS-A,Example0,0,2,destroy,destroy_streak_around_worst_worker,3,0.2,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,-3.0
ALNS-A,Example0,0,2,repair,repair_chuffed_long,2,0.13333333333333333,0,0.0,0.5,2.5,nan
ALNS-A,Example0,0,2,destroy,destroy_worst_days_30pct,1,0.06666666666666667,0,0.0,0.0,7.0,nan
ALNS-A,Example0,0,2,destroy,destroy_random_workers_20pct,3,0.2,2,0.6666666666666666,1.0,-1.0,-1.5
