instance,instance_index,algorithm,seed,objective,runtime_seconds,gap_to_cp,status,timeout_hit,solver_name,log_path,source_summary
Example0,0,ALNS-A,0,0.0,62.9472682220221,-1.0,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/00_Example0_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example0,0,ALNS-A,1,0.0,80.52526842302177,-1.0,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/00_Example0_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example0,0,ALNS-A,2,0.0,42.66411626900663,-1.0,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/00_Example0_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example0,0,ALNS-B,0,0.0,31.119898359989747,-1.0,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/00_Example0_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example0,0,ALNS-B,1,0.0,85.77991769401706,-1.0,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/00_Example0_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example0,0,ALNS-B,2,0.0,92.13057813097839,-1.0,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/00_Example0_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example0,0,CP-SAT,,155.0,1.7788417149859015,0.0,SATISFIED,False,gecode,,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_baseline/baseline_runs_20260227-202226.csv
Example1,1,ALNS-A,0,0.0,111.87024083701544,nan,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/01_Example1_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example1,1,ALNS-A,1,2.0,180.1567796540039,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/01_Example1_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example1,1,ALNS-A,2,0.0,156.07784320999053,nan,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/01_Example1_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example1,1,ALNS-B,0,0.0,153.93048458499834,nan,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/01_Example1_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example1,1,ALNS-B,1,4.0,182.08176049997564,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/01_Example1_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
