algorithm,progress_bin,progress_bin_index,acceptance_rate,n_events
ALNS-A,00-10pct,0,0.8504273504273504,468
ALNS-A,10-20pct,1,0.6707818930041153,486
ALNS-A,20-30pct,2,0.6287128712871287,404
ALNS-A,30-40pct,3,0.5833333333333334,432
ALNS-A,40-50pct,4,0.5873015873015873,378
ALNS-A,50-60pct,5,0.5714285714285714,294
ALNS-A,60-70pct,6,0.6560509554140127,314
ALNS-A,70-80pct,7,0.7062937062937062,286
ALNS-A,80-90pct,8,0.7283236994219653,346
ALNS-A,90-100pct,9,0.6904761904761905,336
ALNS-B,00-10pct,0,0.6720647773279352,494
ALNS-B,10-20pct,1,0.25738396624472576,474
ALNS-B,20-30pct,2,0.1650943396226415,424
ALNS-B,30-40pct,3,0.16216216216216217,444
ALNS-B,40-50pct,4,0.091324200913242,438
ALNS-B,50-60pct,5,0.07602339181286549,342
ALNS-B,60-70pct,6,0.07801418439716312,282
ALNS-B,70-80pct,7,0.08333333333333333,312
ALNS-B,80-90pct,8,0.14388489208633093,278
ALNS-B,90-100pct,9,0.15436241610738255,298
