algorithm,instance,instance_index,seed,operator_type,selection_entropy
ALNS-A,Example0,0,0,destroy,1.7114595390126945
ALNS-A,Example0,0,0,repair,1.3080516908361997
ALNS-A,Example0,0,1,destroy,1.739962829930836
ALNS-A,Example0,0,1,repair,1.5128595981644448
ALNS-A,Example0,0,2,destroy,1.8065071652616695
ALNS-A,Example0,0,2,repair,1.3229495110045284
ALNS-A,Example1,1,0,destroy,1.9614958683391663
ALNS-A,Example1,1,0,repair,1.189133504692018
ALNS-A,Example1,1,1,destroy,1.846332882392174
ALNS-A,Example1,1,1,repair,1.524714630630886
ALNS-A,Example1,1,2,destroy,2.0829184139866643
ALNS-A,Example1,1,2,repair,1.3867097572468305
ALNS-A,Example2,2,0,destroy,2.036873402300719
ALNS-A,Example2,2,0,repair,1.47673701753236
ALNS-A,Example2,2,1,destroy,1.7407097578041566
ALNS-A,Example2,2,1,repair,1.4724107718870583
ALNS-A,Example2,2,2,destroy,1.9594911982424488
ALNS-A,Example2,2,2,repair,1.554566313468821
ALNS-A,Example3,3,0,destroy,1.7478680974667575
ALNS-A,Example3,3,0,repair,1.5317780787913653
ALNS-A,Example3,3,1,destroy,1.6466573524002603
ALNS-A,Example3,3,1,repair,1.2281058514681364
ALNS-A,Example3,3,2,destroy,1.7519843649838942
ALNS-A,Example3,3,2,repair,1.2621405587380952
ALNS-A,Example4,4,0,destroy,1.9409698373583208
ALNS-A,Example4,4,0,repair,1.445988949033869
ALNS-A,Example4,4,1,destroy,2.1265495208607645
ALNS-A,Example4,4,1,repair,1.4750485067385986
ALNS-A,Example4,4,2,destroy,1.988654467220019
ALNS-A,Example4,4,2,repair,1.318626778981968
ALNS-A,Example5,5,0,destroy,1.4461951873626668
ALNS-A,Example5,5,0,repair,1.1836846396401632
ALNS-A,Example5,5,1,destroy,2.0813935320493298
ALNS-A,Example5,5,1,repair,1.363677754200493
ALNS-A,Example5,5,2,destroy,2.0100401641589474
ALNS-A,Example5,5,2,repair,1.2280767289113275
ALNS-A,Example6,6,0,destroy,1.8166021873648242
ALNS-A,Example6,6,0,repair,1.5826241060067976
ALNS-A,Example6,6,1,destroy,1.9456348954116105
ALNS-A,Example6,6,1,repair,1.5340376614418012
ALNS-A,Example6,6,2,destroy,2.266794128018204
ALNS-A,Example6,6,2,repair,1.4730972946967673
ALNS-A,Example7,7,0,destroy,1.7311740304839938
ALNS-A,Example7,7,0,repair,1.3209711040904644
ALNS-A,Example7,7,1,destroy,1.4171055061337046
ALNS-A,Example7,7,1,repair,0.7400116657311008
ALNS-A,Example7,7,2,destroy,1.7105242395186566
ALNS-A,Example7,7,2,repair,1.3208883431493221
ALNS-A,Example8,8,0,destroy,1.6983377994988864
ALNS-A,Example8,8,0,repair,1.3853603777875552
ALNS-A,Example8,8,1,destroy,1.874083274379997
ALNS-A,Example8,8,1,repair,1.2621430742476507
ALNS-A,Example8,8,2,destroy,1.965422681961884
ALNS-A,Example8,8,2,repair,1.502289696602361
ALNS-A,Example9,9,0,destroy,1.4328258084686258
ALNS-A,Example9,9,0,repair,1.2736474290365023
ALNS-A,Example9,9,1,destroy,1.4546247143256044
ALNS-A,Example9,9,1,repair,1.397991702060472
ALNS-A,Example9,9,2,destroy,2.0837660374856477
ALNS-A,Example9,9,2,repair,1.194453006323357
ALNS-A,Example10,10,0,destroy,1.2918172475583347
ALNS-A,Example10,10,0,repair,1.279110062953209
ALNS-A,Example10,10,1,destroy,1.7374133160638978
ALNS-A,Example10,10,1,repair,1.1634442549909352
ALNS-A,Example10,10,2,destroy,2.095409618702327
ALNS-A,Example10,10,2,repair,1.291209434290213
ALNS-A,Example11,11,0,destroy,2.046348335893071
ALNS-A,Example11,11,0,repair,1.3234757448921362
ALNS-A,Example11,11,1,destroy,2.2051551011994586
ALNS-A,Example11,11,1,repair,1.357140143848188
ALNS-A,Example11,11,2,destroy,1.8167055106888137
ALNS-A,Example11,11,2,repair,1.3391071172869515
ALNS-A,Example12,12,0,destroy,2.028783390586009
ALNS-A,Example12,12,0,repair,1.36680601141227
ALNS-A,Example12,12,1,destroy,1.9216593114463447
ALNS-A,Example12,12,1,repair,1.0821955300387673
ALNS-A,Example12,12,2,destroy,1.9675608336737633
ALNS-A,Example12,12,2,repair,1.1978383474029828
ALNS-A,Example13,13,0,destroy,1.703161782246058
ALNS-A,Example13,13,0,repair,1.343752133066827
