algorithm,instance,instance_index,operator_type,operator_name,mean_selection_share,mean_improvement_probability,mean_acceptance_rate,mean_improving_delta
ALNS-A,Example0,0,destroy,destroy_streak_around_worst_worker,0.1695924764890282,0.2222222222222222,0.8222222222222223,-2.25
ALNS-A,Example0,0,repair,repair_chuffed_long,0.208498780912574,0.15277777777777776,0.7962962962962963,-1.0
ALNS-A,Example0,0,destroy,destroy_random_days_20pct,0.16328805294322535,0.42857142857142855,1.0,-2.5
ALNS-A,Example0,0,repair,repair_gecode_fast,0.27908394287704635,0.3,0.7714285714285714,-3.375
ALNS-A,Example0,0,destroy,destroy_random_window_20pct,0.18450017415534656,0.21428571428571427,1.0,-1.5
ALNS-A,Example0,0,destroy,destroy_all_forbidden_sequences,0.09407871821664926,0.0,1.0,nan
ALNS-A,Example0,0,repair,repair_chuffed_fast,0.31278300243817486,0.15595238095238095,0.8898809523809524,-1.5
ALNS-A,Example0,0,destroy,destroy_worst_days_30pct,0.13272378962034134,0.06666666666666667,0.11428571428571428,-1.0
ALNS-A,Example0,0,destroy,destroy_worst_workers_30pct,0.06896551724137931,0.5,0.5,-1.0
ALNS-A,Example0,0,repair,repair_gecode_long,0.1693312434691745,0.1851851851851852,0.8518518518518517,-1.75
ALNS-A,Example0,0,destroy,destroy_random_workers_20pct,0.27045454545454545,0.43333333333333335,1.0,-1.4166666666666665
ALNS-A,Example0,0,destroy,destroy_exploration,0.09090909090909091,0.0,1.0,nan
ALNS-A,Example0,0,repair,repair_exploration,0.09090909090909091,0.0,1.0,nan
ALNS-A,Example0,0,destroy,destroy_worst_workers_10pct,0.06666666666666667,0.0,1.0,nan
ALNS-A,Example1,1,destroy,destroy_streak_around_worst_worker,0.07769289533995416,0.16666666666666666,0.8333333333333334,-1.5
ALNS-A,Example1,1,repair,repair_chuffed_long,0.19043799337916986,0.1412037037037037,0.773148148148148,-2.1
ALNS-A,Example1,1,destroy,destroy_worst_days_30pct,0.10138146167557933,0.0,0.0,nan
ALNS-A,Example1,1,destroy,destroy_random_days_20pct,0.23035714285714284,0.3051948051948052,1.0,-3.041666666666667
ALNS-A,Example1,1,destroy,destroy_all_forbidden_sequences,0.054163483575248285,0.16666666666666666,0.8222222222222223,-6.0
ALNS-A,Example1,1,destroy,destroy_random_window_20pct,0.1575948561242679,0.047619047619047616,1.0,-2.0
ALNS-A,Example1,1,destroy,destroy_random_workers_20pct,0.19533358798064682,0.19894179894179895,1.0,-2.5
