instance,instance_index,algorithm,n_seeds,mean_objective,median_objective,best_objective,std_objective,min_objective,max_objective,mean_gap_to_cp,best_gap_to_cp,cv_objective
Example0,0,ALNS-A,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,nan
Example0,0,ALNS-B,3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,nan
Example1,1,ALNS-A,3,0.6666666666666666,0.0,0.0,1.1547005383792515,0.0,2.0,nan,nan,1.7320508075688772
Example1,1,ALNS-B,3,2.3333333333333335,3.0,0.0,2.0816659994661326,0.0,4.0,nan,nan,0.892142571199771
Example2,2,ALNS-A,3,0.3333333333333333,0.0,0.0,0.5773502691896257,0.0,1.0,nan,nan,1.7320508075688772
Example2,2,ALNS-B,3,0.3333333333333333,0.0,0.0,0.5773502691896257,0.0,1.0,nan,nan,1.7320508075688772
Example3,3,ALNS-A,3,25.0,20.0,14.0,14.177446878757825,14.0,41.0,nan,nan,0.5670978751503131
Example3,3,ALNS-B,3,26.0,25.0,12.0,14.52583904633395,12.0,41.0,nan,nan,0.5586861171666904
Example4,4,ALNS-A,3,2.3333333333333335,3.0,1.0,1.1547005383792515,1.0,3.0,nan,nan,0.49487165930539345
Example4,4,ALNS-B,3,3.0,3.0,2.0,1.0,2.0,4.0,nan,nan,0.3333333333333333
Example5,5,ALNS-A,3,4.666666666666667,6.0,2.0,2.309401076758503,2.0,6.0,nan,nan,0.49487165930539345
Example5,5,ALNS-B,3,4.333333333333333,5.0,3.0,1.1547005383792515,3.0,5.0,nan,nan,0.2664693550105965
Example6,6,ALNS-A,3,0.6666666666666666,1.0,0.0,0.5773502691896257,0.0,1.0,nan,nan,0.8660254037844386
Example6,6,ALNS-B,3,3.0,4.0,1.0,1.7320508075688772,1.0,4.0,nan,nan,0.5773502691896257
Example7,7,ALNS-A,3,100.33333333333333,83.0,82.0,30.89228598426043,82.0,136.0,nan,nan,0.30789653804910727
Example7,7,ALNS-B,3,123.66666666666667,86.0,83.0,67.85523806850385,83.0,202.0,nan,nan,0.548694647454209
Example8,8,ALNS-A,3,12.333333333333334,9.0,6.0,8.504900548115382,6.0,22.0,nan,nan,0.6895865309282742
Example8,8,ALNS-B,3,6.333333333333333,7.0,2.0,4.041451884327381,2.0,10.0,nan,nan,0.6381239817359022
Example9,9,ALNS-A,3,120.0,115.0,90.0,32.78719262151,90.0,155.0,nan,nan,0.27322660517925
Example9,9,ALNS-B,3,127.0,119.0,106.0,25.942243542145693,106.0,156.0,nan,nan,0.20426963419012356
Example10,10,ALNS-A,3,48.666666666666664,51.0,27.0,20.5993527406405,27.0,68.0,nan,nan,0.42327437138302404
Example10,10,ALNS-B,3,80.0,94.0,27.0,47.57099956906519,27.0,119.0,nan,nan,0.5946374946133148
Example11,11,ALNS-A,3,45.666666666666664,49.0,34.0,10.408329997330664,34.0,54.0,nan,nan,0.22791963497804377
Example11,11,ALNS-B,3,47.333333333333336,54.0,34.0,11.547005383792515,34.0,54.0,nan,nan,0.24395081796744747
Example12,12,ALNS-A,3,28.0,33.0,12.0,14.177446878757825,12.0,39.0,nan,nan,0.5063373885270652
Example12,12,ALNS-B,3,25.333333333333332,24.0,8.0,18.036999011291577,8.0,44.0,nan,nan,0.7119868030772991
Example13,13,ALNS-A,3,30.0,27.0,23.0,8.888194417315589,23.0,40.0,nan,nan,0.29627314724385295
Example13,13,ALNS-B,3,29.666666666666668,27.0,23.0,8.32666399786453,23.0,39.0,nan,nan,0.2806740673437482
Example14,14,ALNS-A,3,10.333333333333334,6.0,5.0,8.386497083606082,5.0,20.0,nan,nan,0.8115964919618789
Example14,14,ALNS-B,3,4.666666666666667,5.0,2.0,2.516611478423583,2.0,7.0,nan,nan,0.5392738882336249
