algorithm,instance,seed,log_path,final_best_from_log,final_best_contributor_destroy,final_best_contributor_repair,n_iterations_in_log
ALNS-A,Example0,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/00_Example0_seed0.log,0.0,destroy_worst_workers_30pct,repair_chuffed_long,29
ALNS-A,Example0,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/00_Example0_seed1.log,0.0,destroy_streak_around_worst_worker,repair_gecode_long,44
ALNS-A,Example0,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/00_Example0_seed2.log,0.0,destroy_random_workers_20pct,repair_chuffed_fast,15
ALNS-A,Example1,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/01_Example1_seed0.log,0.0,destroy_random_days_20pct,repair_chuffed_fast,40
ALNS-A,Example1,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/01_Example1_seed1.log,2.0,destroy_random_window_20pct,repair_gecode_fast,68
ALNS-A,Example1,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/01_Example1_seed2.log,0.0,destroy_worst_workers_30pct,repair_gecode_fast,77
ALNS-A,Example2,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/02_Example2_seed0.log,0.0,destroy_worst_days_30pct,repair_chuffed_fast,39
ALNS-A,Example2,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/02_Example2_seed1.log,1.0,destroy_worst_workers_30pct,repair_chuffed_fast,96
ALNS-A,Example2,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/02_Example2_seed2.log,0.0,destroy_random_window_20pct,repair_gecode_long,73
ALNS-A,Example3,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/03_Example3_seed0.log,41.0,destroy_random_window_20pct,repair_gecode_fast,14
ALNS-A,Example3,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/03_Example3_seed1.log,20.0,destroy_max_border_off,repair_gecode_long,32
