algorithm,instance,instance_index,seed,cp_objective,target_gap,target_objective,time_to_target_seconds
ALNS-A,Example0,0,0,155.0,0.02,158.1,1.964
ALNS-A,Example0,0,1,155.0,0.02,158.1,0.935
ALNS-A,Example0,0,2,155.0,0.02,158.1,0.823
ALNS-A,Example1,1,0,nan,0.02,nan,nan
ALNS-A,Example1,1,1,nan,0.02,nan,nan
ALNS-A,Example1,1,2,nan,0.02,nan,nan
ALNS-A,Example2,2,0,nan,0.02,nan,nan
ALNS-A,Example2,2,1,nan,0.02,nan,nan
ALNS-A,Example2,2,2,nan,0.02,nan,nan
ALNS-A,Example3,3,0,nan,0.02,nan,nan
ALNS-A,Example3,3,1,nan,0.02,nan,nan
ALNS-A,Example3,3,2,nan,0.02,nan,nan
ALNS-A,Example4,4,0,nan,0.02,nan,nan
ALNS-A,Example4,4,1,nan,0.02,nan,nan
ALNS-A,Example4,4,2,nan,0.02,nan,nan
ALNS-A,Example5,5,0,nan,0.02,nan,nan
ALNS-A,Example5,5,1,nan,0.02,nan,nan
ALNS-A,Example5,5,2,nan,0.02,nan,nan
ALNS-A,Example6,6,0,nan,0.02,nan,nan
ALNS-A,Example6,6,1,nan,0.02,nan,nan
ALNS-A,Example6,6,2,nan,0.02,nan,nan
ALNS-A,Example7,7,0,nan,0.02,nan,nan
ALNS-A,Example7,7,1,nan,0.02,nan,nan
ALNS-A,Example7,7,2,nan,0.02,nan,nan
ALNS-A,Example8,8,0,nan,0.02,nan,nan
ALNS-A,Example8,8,1,nan,0.02,nan,nan
ALNS-A,Example8,8,2,nan,0.02,nan,nan
ALNS-A,Example9,9,0,nan,0.02,nan,nan
ALNS-A,Example9,9,1,nan,0.02,nan,nan
ALNS-A,Example9,9,2,nan,0.02,nan,nan
ALNS-A,Example10,10,0,nan,0.02,nan,nan
ALNS-A,Example10,10,1,nan,0.02,nan,nan
ALNS-A,Example10,10,2,nan,0.02,nan,nan
ALNS-A,Example11,11,0,nan,0.02,nan,nan
ALNS-A,Example11,11,1,nan,0.02,nan,nan
ALNS-A,Example11,11,2,nan,0.02,nan,nan
ALNS-A,Example12,12,0,nan,0.02,nan,nan
ALNS-A,Example12,12,1,nan,0.02,nan,nan
ALNS-A,Example12,12,2,nan,0.02,nan,nan
ALNS-A,Example13,13,0,nan,0.02,nan,nan
ALNS-A,Example13,13,1,nan,0.02,nan,nan
ALNS-A,Example13,13,2,nan,0.02,nan,nan
ALNS-A,Example14,14,0,nan,0.02,nan,nan
ALNS-A,Example14,14,1,nan,0.02,nan,nan
ALNS-A,Example14,14,2,nan,0.02,nan,nan
ALNS-B,Example0,0,0,155.0,0.02,158.1,0.969
ALNS-B,Example0,0,1,155.0,0.02,158.1,0.932
ALNS-B,Example0,0,2,155.0,0.02,158.1,0.816
ALNS-B,Example1,1,0,nan,0.02,nan,nan
ALNS-B,Example1,1,1,nan,0.02,nan,nan
ALNS-B,Example1,1,2,nan,0.02,nan,nan
ALNS-B,Example2,2,0,nan,0.02,nan,nan
ALNS-B,Example2,2,1,nan,0.02,nan,nan
ALNS-B,Example2,2,2,nan,0.02,nan,nan
ALNS-B,Example3,3,0,nan,0.02,nan,nan
ALNS-B,Example3,3,1,nan,0.02,nan,nan
ALNS-B,Example3,3,2,nan,0.02,nan,nan
ALNS-B,Example4,4,0,nan,0.02,nan,nan
ALNS-B,Example4,4,1,nan,0.02,nan,nan
ALNS-B,Example4,4,2,nan,0.02,nan,nan
ALNS-B,Example5,5,0,nan,0.02,nan,nan
ALNS-B,Example5,5,1,nan,0.02,nan,nan
ALNS-B,Example5,5,2,nan,0.02,nan,nan
ALNS-B,Example6,6,0,nan,0.02,nan,nan
ALNS-B,Example6,6,1,nan,0.02,nan,nan
ALNS-B,Example6,6,2,nan,0.02,nan,nan
ALNS-B,Example7,7,0,nan,0.02,nan,nan
ALNS-B,Example7,7,1,nan,0.02,nan,nan
ALNS-B,Example7,7,2,nan,0.02,nan,nan
ALNS-B,Example8,8,0,nan,0.02,nan,nan
ALNS-B,Example8,8,1,nan,0.02,nan,nan
ALNS-B,Example8,8,2,nan,0.02,nan,nan
ALNS-B,Example9,9,0,nan,0.02,nan,nan
ALNS-B,Example9,9,1,nan,0.02,nan,nan
ALNS-B,Example9,9,2,nan,0.02,nan,nan
ALNS-B,Example10,10,0,nan,0.02,nan,nan
ALNS-B,Example10,10,1,nan,0.02,nan,nan
ALNS-B,Example10,10,2,nan,0.02,nan,nan
ALNS-B,Example11,11,0,nan,0.02,nan,nan
ALNS-B,Example11,11,1,nan,0.02,nan,nan
ALNS-B,Example11,11,2,nan,0.02,nan,nan
ALNS-B,Example12,12,0,nan,0.02,nan,nan
ALNS-B,Example12,12,1,nan,0.02,nan,nan
ALNS-B,Example12,12,2,nan,0.02,nan,nan
ALNS-B,Example13,13,0,nan,0.02,nan,nan
ALNS-B,Example13,13,1,nan,0.02,nan,nan
ALNS-B,Example13,13,2,nan,0.02,nan,nan
ALNS-B,Example14,14,0,nan,0.02,nan,nan
ALNS-B,Example14,14,1,nan,0.02,nan,nan
ALNS-B,Example14,14,2,nan,0.02,nan,nan
